City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kingston,17.997,-76.7936,31.53,81,40,9.26,JM,1693947374
83,tirumullaivasal,11.2333,79.8333,26.94,78,100,3.94,IN,1693947862
84,selfoss,63.9331,-20.9971,11.14,97,100,5.1,IS,1693947862
85,hlusk,52.903,28.6845,14.05,67,97,2.31,BY,1693947862
86,preobrazheniye,42.9019,133.9064,18.36,88,0,3.02,RU,1693947862
87,hasaki,35.7333,140.8333,25.73,84,99,4.81,JP,1693947862
88,belmonte,-15.8631,-38.8828,23.53,86,29,4.35,BR,1693947774
89,pangody,65.85,74.4859,7.46,73,60,2.44,RU,1693947863
90,susuman,62.7833,148.1667,5.85,61,89,0.97,RU,1693947863
91,porto novo,6.4965,2.6036,25.9,92,100,2.88,BJ,1693947627
92,tiksi,71.6872,128.8694,1.93,90,44,6.5,RU,1693947853
93,tinambac,13.8164,123.3261,25.97,89,98,2.55,PH,1693947863
94,albany,42.6001,-73.9662,31.85,66,68,0.45,US,1693947863
95,puerto ayora,-0.7393,-90.3518,26.98,87,58,2.68,EC,1693947863
96,hermanus,-34.4187,19.2345,8.78,71,17,6.53,ZA,1693947863
97,challapata,-18.9,-66.7667,13.68,16,100,1.13,BO,1693947864
98,hithadhoo,-0.6,73.0833,28.07,75,70,6.47,MV,1693947831
99,nchelenge,-9.3451,28.734,24.98,54,64,2.55,ZM,1693947864
100,sao gabriel da cachoeira,-0.1303,-67.0892,35.93,31,11,1.03,BR,1693947864
101,forster,-32.1667,152.5167,11.76,51,0,2.17,AU,1693947864
102,port lincoln,-34.7333,135.8667,11.13,69,0,6.09,AU,1693947864
103,igarka,67.4667,86.5833,3.89,81,0,2.33,RU,1693947853
104,blackmans bay,-43.0167,147.3167,10.07,67,93,3.25,AU,1693947864
105,badger,64.8,-147.5333,13.41,80,75,3.6,US,1693947864
106,trapani,37.8333,12.6667,23.27,62,22,9.47,IT,1693947865
107,college,64.8569,-147.8028,13.45,83,100,3.6,US,1693947865
108,hoemul-li,41.4339,129.67,19.44,77,8,1.45,KP,1693947865
109,avarua,-21.2078,-159.775,25.03,65,20,7.2,CK,1693947865
110,port mathurin,-19.6833,63.4167,22.57,75,16,7.27,MU,1693947842
